Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
AUS, 2, 0, 1, 4, 2017, January, Wednesday, 02:10 pm, 060, Dry, N, Daylight, Right Angle, Major Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 02:20 pm, 050, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 02:00 pm, 050, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 03:30 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 3, 0, 0, 4, 2017, January, Wednesday, 01:15 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 3, 0, 0, 1, 2017, January, Wednesday, 04:10 pm, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 2, 2017, January, Tuesday, 10:00 am, 050, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 07:25 pm, 050, Dry, N, Daylight, Hit Fixed Object, Minor Injury, Y, N
AUS, 2, 0, 0, 0, 2017, March, Saturday, 10:31 pm, 080, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Wednesday, 08:50 pm, 060, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 04:30 am, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 2, 1, 2017, January, Wednesday, 01:40 pm, 100, Dry, N, Daylight, Hit Fixed Object, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 07:00 am, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 02:00 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, January, Thursday, 08:55 am, 080, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Wednesday, 09:05 am, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 10:30 am, 050, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 10:00 am, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Wednesday, 12:00 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Thursday, 09:15 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Wednesday, 02:15 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 11:45 am, 050, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 10:40 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 12:45 pm, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 04:41 pm, 050, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 4, 2017, January, Wednesday, 05:15 pm, 090, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 01:30 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 02:20 pm, 100, Dry, N, Daylight, Rear End, Not Injured, N, N
